agent_outcomes,arm,dataset_id,failure_adjusted_mean,failure_adjusted_median,model_id,successful_only_is_selection_biased,successful_only_mean,successful_only_median,successful_outcomes
5,A,air_quality,-1.297236,-1.297236,deepseek-v4-flash,True,,,0
5,A,air_quality,-1.297236,-1.297236,gemma-4-26b,True,,,0
5,A,bank_marketing,0.856519,0.856519,deepseek-v4-flash,True,0.856519,0.856519,5
5,A,bank_marketing,0.853983,0.851475,gemma-4-26b,True,0.853983,0.851475,5
5,A,diabetes_readmission,0.619281,0.619645,deepseek-v4-flash,True,0.619281,0.619645,5
5,A,diabetes_readmission,0.621988,0.624230,gemma-4-26b,True,0.621988,0.624230,5
5,A,student_dropout,0.726490,0.729930,deepseek-v4-flash,True,0.726490,0.729930,5
5,A,student_dropout,0.729774,0.729950,gemma-4-26b,True,0.729774,0.729950,5
5,B,air_quality,-1.147627,-1.297236,deepseek-v4-flash,True,-0.549190,-0.549190,1
5,B,air_quality,-1.297236,-1.297236,gemma-4-26b,True,,,0
5,B,bank_marketing,0.831188,0.831188,deepseek-v4-flash,True,,,0
5,B,bank_marketing,0.838864,0.831188,gemma-4-26b,True,0.850377,0.850377,2
5,B,diabetes_readmission,0.346872,0.346872,deepseek-v4-flash,True,,,0
5,B,diabetes_readmission,0.459711,0.346872,gemma-4-26b,True,0.628969,0.628969,2
5,B,student_dropout,0.221776,0.221776,deepseek-v4-flash,True,,,0
5,B,student_dropout,0.325099,0.221776,gemma-4-26b,True,0.738392,0.738392,1
5,C,air_quality,-1.297236,-1.297236,deepseek-v4-flash,True,,,0
5,C,air_quality,-1.297236,-1.297236,gemma-4-26b,True,,,0
5,C,bank_marketing,0.831188,0.831188,deepseek-v4-flash,True,,,0
5,C,bank_marketing,0.841658,0.831188,gemma-4-26b,True,0.857362,0.857362,2
5,C,diabetes_readmission,0.346872,0.346872,deepseek-v4-flash,True,,,0
5,C,diabetes_readmission,0.404555,0.346872,gemma-4-26b,True,0.635286,0.635286,1
5,C,student_dropout,0.221776,0.221776,deepseek-v4-flash,True,,,0
5,C,student_dropout,0.221776,0.221776,gemma-4-26b,True,,,0
